,acousticness,artist_popularity,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,time_signature,valence,year,hit
138,0.000336,42.0,0.378,217120,0.851,3VGjUGJ5H3N61ggpyORS0n,0.0,7,0.495,-4.378,1,52,0.0375,170.017,4,0.41,2005,0
139,0.652,76.0,0.388,303373,0.338,2RlgNHKcydI9sayD2Df2xp,3.72e-06,10,0.248,-10.054,1,81,0.0328,177.784,4,0.477,1977,0
140,0.963,50.0,0.515,379533,0.0283,0glr1BX8Zy81l4HvLpmozl,0.927,9,0.0906,-28.954,1,19,0.0402,100.598,4,0.0886,2018,0
141,0.994,67.0,0.317,583093,0.035,0LAtAbJkimOc9aV9CRTrZy,0.898,8,0.0755,-25.061,1,7,0.0384,133.959,4,0.0483,2019,0
142,0.845,44.0,0.394,608186,0.25,3bv4j1lmo6yVChahz9crt3,0.93,0,0.127,-16.804,0,57,0.0327,115.451,4,0.0903,2019,0
143,0.512,71.0,0.629,172933,0.592,2Po67bkabDRE2BcquBNdu1,0.0,0,0.102,-7.556,1,17,0.0277,114.99,4,0.491,1965,0
144,0.881,48.0,0.558,167000,0.0843,403VIBIMPMakYoRni8SrzK,4.09e-06,0,0.13,-18.398,1,56,0.0372,109.528,4,0.153,2015,0
145,0.422,87.5,0.671,248440,0.711,11IzgLRXV7Cgek3tEgGgjw,0.0,2,0.104,-7.813,1,73,0.0478,113.809,4,0.466,1982,0
146,0.00241,25.0,0.403,443187,0.956,13yUPnv0lTvnK1XEdvyp2A,1.69e-05,11,0.23,-5.335,0,1,0.0752,147.068,3,0.291,2019,0
147,0.0397,85.0,0.724,237706,0.692,68IM0wOuxlrbwk0zgmi9dk,0.00477,1,0.314,-6.75,1,3,0.324,96.937,4,0.532,2005,0
148,0.206,85.0,0.925,214226,0.659,69bHJ9qs5FrUJbKP8xU8uZ,7.88e-05,3,0.279,-4.763,1,69,0.231,97.018,4,0.71,2005,0
149,0.976,42.0,0.442,436000,0.0595,1y0FhVFVZ2eG82sn0M7H7v,0.909,5,0.102,-18.279,1,55,0.0328,99.034,4,0.102,2019,0
150,0.204,66.0,0.459,160653,0.821,5sgNtgSoWoglhcKPOiIY6j,0.0,7,0.708,-4.901,1,47,0.0961,182.586,4,0.553,2012,0
151,1.65e-05,45.0,0.468,222733,0.819,2aFsfzUuXuxDr4xo8ndfUt,4.51e-06,8,0.0715,-3.855,0,51,0.0459,92.009,4,0.465,2019,0
152,0.202,52.0,0.704,173285,0.524,4u3vSh4RPUNvZG5Ns61pZs,0.00138,6,0.104,-9.266,0,55,0.0704,91.437,4,0.549,2019,0
153,0.00168,74.0,0.56,197640,0.751,7GZKme55JpmLq3alBDQm11,5.22e-05,4,0.168,-6.022,0,57,0.0364,93.969,4,0.177,2017,0
154,0.157,78.0,0.489,220706,0.55,3UerZr7GF7qO2hQf6FwEbz,0.000234,6,0.105,-5.889,1,49,0.0633,171.907,4,0.117,2015,0
155,0.292,67.0,0.542,303200,0.589,6ZapsNk1ZpaebNXAIohP9R,0.000522,2,0.177,-6.623,1,23,0.0318,111.665,4,0.137,2009,0
156,0.3,49.0,0.674,197462,0.415,7cdqv6XfTVx1vhMT8Py3Yg,0.0,9,0.0981,-7.403,0,56,0.0709,73.965,4,0.632,2019,0
157,0.615,23.1875,0.0738,401332,0.226,0h8HuJimNAT1nbzDKWqgRr,0.847,5,0.655,-18.082,0,0,0.0448,79.904,3,0.037,2019,0
158,0.0526,50.0,0.722,183628,0.92,4V55s6F1gA9SsoukYCwIkN,0.0,2,0.617,-2.808,1,46,0.0773,99.972,4,0.256,2018,0
159,0.0178,71.0,0.549,185306,0.981,4lAYMPLPFOovwTCmtTt9b5,1.8e-06,11,0.438,-3.558,0,15,0.059,82.331,4,0.873,2001,0
160,0.75,67.5,0.502,199836,0.514,2fpVvARsopfxhvNaUMwvS6,0.0,1,0.145,-6.271,0,62,0.301,77.262,4,0.49,2019,0
161,0.000159,69.0,0.495,220520,0.527,0Nu9WA8kEbBWEsay2s8Q0U,0.0163,0,0.1,-4.742,1,66,0.0351,208.067,4,0.574,2011,0
