Unnamed: 0,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,track_popularity,artist_popularity,year,hit
696,2rTnVB1bvwxHtaIl4uVu7f,0.0807,0.8270000000000001,238321,0.469,8.12e-06,10,0.207,-9.141,0,0.341,97.028,4,0.196,81,84.0,2019,0
699,3PkosLobiLp6RymQ20mzq5,0.000539,0.392,164670,0.86,6.53e-05,2,0.139,-4.315,1,0.0895,161.987,4,0.453,42,47.0,2019,0
701,6g6U5Ip7Tvm1xsctpflOuk,0.989,0.4270000000000001,241200,0.0445,0.902,8,0.112,-18.994,1,0.0381,117.815,3,0.153,54,42.5,2018,0
702,4rznhkoOr1AYneKuWBef4V,0.974,0.302,360413,0.0166,0.0714,7,0.0737,-23.504,1,0.0475,69.904,3,0.235,59,47.0,2018,0
704,0sdrmuPXp8pXhy0hrdJ8AH,0.0351,0.7190000000000001,185811,0.62,0.0,6,0.258,-5.7429999999999986,0,0.102,129.931,4,0.104,59,65.0,2019,0
705,5Bl1TC8Y1qh3ui6fGSWL5a,0.915,0.487,388346,0.135,0.00353,2,0.6859999999999999,-11.211,0,0.0434,105.854,5,0.24,58,54.0,2017,0
706,1dI3L6GFPqOHd81gU782yQ,0.0056,0.5770000000000001,200706,0.934,0.0,7,0.0484,-3.999,1,0.128,137.003,4,0.54,50,69.0,2018,0
707,6zsT60ALu2xeljCWRp3rEs,0.698,0.32299999999999995,247385,0.358,0.0,10,0.109,-9.939,1,0.0484,174.149,3,0.146,57,64.0,2019,0
708,79GHf6sJJNPu5nOrUdRkaF,0.000837,0.494,263840,0.938,0.0,5,0.0941,-5.303,0,0.106,126.036,4,0.181,14,29.0,2019,0
709,6tq6PWrJ8y8icAv1x45YXT,0.0289,0.525,163493,0.637,0.0,1,0.0763,-4.717,1,0.0932,84.72,4,0.322,64,88.0,2019,0
713,6NpwgYdHNNpq81GnpJNx3Y,0.87,0.446,492080,0.242,0.4970000000000001,8,0.105,-14.152,1,0.0368,126.681,4,0.171,51,40.0,2016,0
